Backend,Qubit A,Qubit B,Lambda
ibm_sherbrooke,21,20,0.9914143993898925
ibm_sherbrooke,41,53,0.9939247700974133
ibm_sherbrooke,31,30,0.9850599621608775
ibm_sherbrooke,86,85,0.9836568839928836
ibm_sherbrooke,57,58,0.9066356208583668
ibm_sherbrooke,109,96,0.9921303134359889
ibm_sherbrooke,123,122,0.9897926188554573
ibm_sherbrooke,64,54,0.994034395566824
ibm_sherbrooke,73,66,0.9808226225027739
ibm_sherbrooke,119,118,0.992487197819315
ibm_sherbrooke,79,91,0.978981794106132
ibm_sherbrooke,26,27,0.9943167371872517
ibm_sherbrooke,5,4,0.9935625214703737
ibm_sherbrooke,21,22,0.9892718426991127
ibm_sherbrooke,89,74,0.9947245073964692
ibm_sherbrooke,31,32,0.9955822604727553
ibm_sherbrooke,4,15,0.9949025184579297
ibm_sherbrooke,86,87,0.9937506260446203
ibm_sherbrooke,97,96,0.9935780746166682
ibm_sherbrooke,113,114,0.9950418107744009
ibm_sherbrooke,1,0,0.994667481503996
ibm_sherbrooke,28,27,0.9887144029700072
ibm_sherbrooke,90,75,0.9903629388155457
ibm_sherbrooke,81,72,0.9914052369012722
ibm_sherbrooke,64,65,0.9944333659175972
ibm_sherbrooke,119,120,0.992030206991326
ibm_sherbrooke,14,0,0.9934562909306223
ibm_sherbrooke,32,36,0.995526982416951
ibm_sherbrooke,125,124,0.9924576721359069
ibm_sherbrooke,29,28,0.9901218963620683
ibm_sherbrooke,61,60,0.9942043169155661
ibm_sherbrooke,14,18,0.9903774510861347
ibm_sherbrooke,112,108,0.9950873974169233
ibm_sherbrooke,126,125,0.9930748707847138
ibm_sherbrooke,87,88,0.994085186193598
ibm_sherbrooke,97,98,0.9920551259360879
ibm_sherbrooke,1,2,0.995700489888674
ibm_sherbrooke,112,126,0.9950491484045302
ibm_sherbrooke,72,62,0.9944529326726104
ibm_sherbrooke,117,116,0.9906568593651842
ibm_sherbrooke,36,51,0.9956956677576124
ibm_sherbrooke,120,121,0.9954951619292474
ibm_sherbrooke,99,98,0.9894160936366972
ibm_sherbrooke,3,2,0.9950228273619889
ibm_sherbrooke,29,30,0.9925132773251211
ibm_sherbrooke,61,62,0.9963031073188127
ibm_sherbrooke,95,94,0.9896785608530285
ibm_sherbrooke,121,122,0.9932565138148811
ibm_sherbrooke,93,87,0.9950719157085142
ibm_sherbrooke,68,67,0.9927790525293017
ibm_sherbrooke,117,118,0.9918433703100471
ibm_sherbrooke,63,62,0.9952636531252038
ibm_sherbrooke,4,3,0.996136993909054
ibm_sherbrooke,33,39,0.9951434539840011
ibm_sherbrooke,59,58,0.9929525720449622
ibm_sherbrooke,69,68,0.9917463549040223
ibm_sherbrooke,124,123,0.9931676115776598
ibm_sherbrooke,101,100,0.9939944823849267
ibm_sherbrooke,95,96,0.9913558970806697
ibm_sherbrooke,106,105,0.9940759294854975
ibm_sherbrooke,10,9,0.9918052498876269
ibm_sherbrooke,111,104,0.9932374530625117
ibm_sherbrooke,47,46,0.9968104570986193
ibm_sherbrooke,63,64,0.9939073712871327
ibm_sherbrooke,6,5,0.9943334694188877
ibm_sherbrooke,71,77,0.9934164844975568
ibm_sherbrooke,43,42,0.9862445496096475
ibm_sherbrooke,59,60,0.991755628133588
ibm_sherbrooke,69,70,0.993963769440589
ibm_sherbrooke,35,47,0.9949736068742819
ibm_sherbrooke,101,102,0.9923448536537893
ibm_sherbrooke,80,79,0.9920786327368365
ibm_sherbrooke,34,24,0.9911757215346426
ibm_sherbrooke,10,11,0.9957675248461141
ibm_sherbrooke,66,65,0.9951268593037748
ibm_sherbrooke,54,45,0.9863113015161609
ibm_sherbrooke,37,38,0.974275942951813
ibm_sherbrooke,102,103,0.993604380870645
ibm_sherbrooke,92,102,0.9737270937726603
ibm_sherbrooke,7,6,0.9918983871428115
ibm_sherbrooke,67,66,0.9887694826778008
ibm_sherbrooke,43,44,0.9956799064277546
ibm_sherbrooke,22,15,0.9932425395217326
ibm_sherbrooke,104,103,0.9948262188451524
ibm_sherbrooke,122,111,0.9846869271158434
ibm_sherbrooke,40,39,0.9843449544606182
ibm_sherbrooke,68,55,0.9876956807972134
ibm_sherbrooke,11,12,0.9955738170361867
ibm_sherbrooke,110,100,0.9932376106303784
ibm_sherbrooke,45,44,0.9907189696663647
ibm_sherbrooke,7,8,0.9909230593166709
ibm_sherbrooke,53,60,0.9917964193733537
